ANNUAL,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,YEAR
19.78,M,M,M,5.55,2.61,2.89,0.72,1.68,2.96,3.37,M,M,1883
26.09,M,M,M,5.69,1.96,9.66,7.25,1.43,0,0.1,M,M,1884
27.39,M,M,M,M,3.15,3.53,4.05,12.12,1.72,2.82,M,M,1887
28.51,M,M,M,M,4.16,4.46,3.75,5.39,3.97,6.78,M,M,1885
30.57,M,M,M,2.41,7.6,1.05,2.97,3.37,8.92,4.25,M,M,1888
31.64,2.49,1.15,4.14,2.14,3.83,1.75,4.26,3.01,2.77,0.41,3.11,2.58,1938
33.08,1.69,0.85,4.66,2.24,0.78,2.66,7.44,3.85,1.38,1.07,1.31,5.15,1941
33.14,7.12,1.2,3.12,2.74,1.75,1.12,2.38,0.78,2.35,4.71,4.06,1.81,1925
34.76,M,M,M,M,3.65,3.24,7.99,6.36,5.56,1.08,6.88,M,1889
35.05,7.35,2.14,7.08,1.19,2.9,2.02,2.89,1.49,0.52,0.77,3.08,3.62,1954
35.18,M,M,M,M,M,9.27,8.16,6.21,4.76,0.27,3.81,2.7,1892
35.87,M,M,M,1.35,8.36,10.99,6.06,7.38,1.73,0,M,M,1886
36.22,2.86,3.93,2.23,3.72,3.45,1.59,3.07,5.92,2.48,0.64,2.18,4.15,1933
37.79,M,M,6.11,5.89,3.34,3.07,3.43,4.84,2.32,0.63,3.62,4.54,1895
38.8,2.85,3.57,4.29,1.26,1.8,2.02,4.6,9.23,0.14,2.97,3.42,2.65,1940
40.03,4.18,1.24,3.51,2.58,2.27,5.23,3.76,2.65,2.74,1.45,5.82,4.6,1930
41.14,3.09,1.49,3.89,1.02,4.44,3.11,9.02,1.74,3.67,4.47,0.7,4.5,1950
41.42,4.95,4.93,2.3,1.68,4.7,3.98,6.84,3.03,3.75,4.19,1.07,M,1894
41.59,2.74,4.01,3.15,6.03,4.46,3.27,7,1.01,2.42,3.72,2.73,1.05,1955
42.64,2.25,3.98,3.99,2.29,1.93,3.41,2.15,11.09,2.45,T,3.7,5.4,1904
42.66,5.78,7.43,7.51,4.63,0.8,2.31,1.64,2.82,2.3,2.03,1.57,3.84,1899
