year,month,gpcd,pop,pre,temp,gpd
1985,Jan,503.00910371090265,302514,4.94,36.2,152167296
1985,Feb,311.3515529,302697,4.29,44.6,94245181
1985,Mar,0,302880,1.13,54.2,0
1985,Apr,0,303063,1.31,61.8,0
1985,May,0,303246,2.42,67.9,0
1985,Jun,0,303429,2.85,76.7,0
1985,Jul,0,303612,6.96,76.4,0
1985,Aug,0,303795,5.93,75.1,0
1985,Sep,0,303978,1.62,69.6,0
1985,Oct,0,304161,4.55,64.3,0
1985,Nov,199.98978130010778,304344,7.52,58.6,60865690
1985,Dec,280.35551855828874,304527,1.44,38.9,85375825
1986,Jan,243.03444586656164,304710,1.1,39.6,74055026
1986,Feb,107.06953690161536,304946,1.46,47.7,32650427
1986,Mar,76.74506931951858,305181,2.64,52.3,23421137
1986,Apr,0,305416,1.1,61.6,0
1986,May,0,305652,6.34,68.9,0
1986,Jun,0,305888,0.93,78.6,0
1986,Jul,0,306123,1.63,83,0
1986,Aug,0,306358,5.93,76,0
1986,Sep,0,306594,2.56,72.6,0
1986,Oct,61.63215135417006,306830,6.11,61.9,18910593
1986,Nov,195.19418038526044,307065,5.37,52.9,59937301
1986,Dec,327.36658965180607,307300,4.17,42.8,100599753
1987,Jan,404.2399881639873,307536,4.65,39.5,124318349
1987,Feb,465.65289215940976,307936,7.33,43,143391289
1987,Mar,214.7094241347102,308336,5.01,50.5,66202645
1987,Apr,0,308736,2.3,58.3,0
1987,May,0,309136,1.31,71.1,0
1987,Jun,0,309536,6.68,76.5,0
1987,Jul,0,309936,3.58,80.4,0
1987,Aug,0,310337,2.79,79.8,0
1987,Sep,0,310737,3.33,71.3,0
1987,Oct,0,311137,0.37,55.2,0
1987,Nov,64.71006333116131,311537,2.81,52.9,20159579
1987,Dec,286.3819746,311937,4.62,45.5,89333134
1988,Jan,420.56590157426115,312337,3.91,36,131358292
1988,Feb,210.25330770534637,312679,1.79,42,65741794
1988,Mar,124.91979106766341,313020,3.67,51.4,39102393
1988,Apr,0,313362,3.41,59.2,0
1988,May,0,313704,1.96,67.1,0
1988,Jun,0,314046,3.25,75.3,0
1988,Jul,0,314388,2.18,78.5,0
1988,Aug,0,314729,3.93,80.4,0
1988,Sep,0,315071,4.57,70.9,0
1988,Oct,39.25822017481841,315413,3.38,55.3,12382553
1988,Nov,134.77320318982498,315754,4.26,52.3,42555178
1988,Dec,194.8545758250658,316096,1.9,43,61592752
1989,Jan,120.17387292297386,316438,1.51,45.7,38027580
1989,Feb,283.4837798605194,316890,4.93,45.4,89833175
1989,Mar,126.12848008924153,317341,4.48,52.9,40025738
1989,Apr,0,317793,3.15,58.6,0
1989,May,0,318244,3.64,64.4,0
1989,Jun,0,318696,6,75.4,0
1989,Jul,0,319148,5.11,78.3,0
1989,Aug,0,319599,4.71,76.8,0
1989,Sep,0,320051,5.42,70.3,0
1989,Oct,0,320502,3.1,61.6,0
1989,Nov,128.65251406743644,320954,3.74,50.8,41291539
1989,Dec,424.2790217949316,321405,4.76,36.9,136365399
1990,Jan,226.8133705341192,321857,4.37,46.5,73001471
1990,Feb,225.9649521397445,322188,5.97,50.6,72803196
1990,Mar,186.04441585017983,322520,6.67,54.6,60003045
1990,Apr,0,322851,2.22,59,0
1990,May,0,323183,2.7,67,0
1990,Jun,0,323514,0.9,76.3,0
1990,Jul,0,323846,3.61,78.7,0
1990,Aug,0,324177,6.21,78.5,0
1990,Sep,0,324508,2.12,72.1,0
1990,Oct,178.75466383450313,324840,9.45,62,58066665
1990,Nov,0,325171,1.93,54,0
1990,Dec,147.78801424257227,325503,3.26,48,48105442
1991,Jan,315.85569338988563,325834,4.72,41.8,102916524
1991,Feb,122.92399145275563,326187,2.24,46.4,40096208
1991,Mar,158.02746975111853,326541,5.82,53.5,51602448
1991,Apr,0,326894,5.65,62.1,0
1991,May,0,327247,6.37,71.5,0
1991,Jun,0,327601,1.72,75.2,0
1991,Jul,0,327954,5.74,80.5,0
1991,Aug,0,328307,9.02,76.6,0
1991,Sep,0,328661,1.44,71.8,0
1991,Oct,0,329014,0.24,61.6,0
1991,Nov,34.96204537795225,329367,1.39,49.2,11515344
1991,Dec,133.42413737675187,329721,2.9,47.4,43992740
1992,Jan,169.7075746650751,330074,2.5,43.9,56016058
1992,Feb,258.3760241809578,330508,6.12,48,85395343
1992,Mar,177.89727536161817,330943,5.45,50.9,58873858
1992,Apr,5.052894437453414,331377,4.81,59.2,1674413
1992,May,0,331811,5.03,64,0
1992,Jun,0,332246,4.97,71.9,0
1992,Jul,0,332680,2.66,79.5,0
1992,Aug,0,333114,5.54,74.2,0
1992,Sep,0,333549,4.3,70.7,0
1992,Oct,98.35356590006079,333983,6.27,57.5,32848419
1992,Nov,303.5333131987907,334417,7.85,49.6,101506700
1992,Dec,318.03870665249127,334852,5.08,41.7,106495897
1993,Jan,359.89181773172754,335286,7.19,44.2,120666688
1993,Feb,240.54085574142516,335779,3.56,41.9,80768568
1993,Mar,448.39394182702745,336273,10.27,46.8,150782776
1993,Apr,0,336766,2.91,55.6,0
1993,May,0,337260,3.08,67.3,0
1993,Jun,0,337753,0.17,76.2,0
1993,Jul,0,338246,0.75,83.2,0
1993,Aug,0,338740,0.87,78.8,0
1993,Sep,0,339233,1.71,71.9,0
1993,Oct,0,339727,2.07,60.2,0
1993,Nov,100.7493416024925,340220,3.73,50.4,34276941
1993,Dec,218.87078312015356,340714,2.94,41.4,74572340
1994,Jan,346.99412087090826,341207,4.24,36.7,118396823
1994,Feb,176.88804902244814,341721,3.47,44.8,60446361
1994,Mar,82.59391819632181,342234,4.46,52.9,28266447
1994,Apr,0,342748,2.61,61.8,0
1994,May,0,343261,1.44,65.2,0
1994,Jun,0,343775,10.12,76.7,0
1994,Jul,0,344288,6.56,77,0
1994,Aug,0,344802,5.76,75.6,0
1994,Sep,0,345316,2.06,69.1,0
1994,Oct,0,345829,4.28,59.5,0
1994,Nov,0,346343,2.43,53.7,0
1994,Dec,151.74940321055425,346856,3.96,47.4,52635191
1995,Jan,338.2067708783142,347370,6.42,42,117482886
1995,Feb,277.92521769118025,347970,5.08,42.2,96709638
1995,Mar,0,348570,2.3,54.5,0
1995,Apr,0,349170,1.58,62.3,0
1995,May,0,349770,4.53,69.6,0
1995,Jun,0,350370,4.84,74.9,0
