ANNUAL,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,YEAR
55.6,34,37.4,49.1,53,65.2,72.1,74.5,72.5,69.9,57.2,46.2,36,1904
56.3,40.6,37.6,47.7,51.7,66.9,72,78.2,74.2,67.7,58.5,43.2,37.2,1901
56.8,37.5,42.1,54.2,55.4,66.9,68,76.1,75.7,68.5,57.4,45.6,34.6,1903
57,33.6,33.1,52.6,57.2,67.8,74.9,75.3,72.6,71.6,59,48.7,37.9,1905
57.2,38.8,40.5,44.3,59.7,64.3,72.2,73,75.4,72.1,56.9,47.8,41.2,1906
57.5,37,35.5,47.6,55.3,70.1,73.4,76.9,74.2,66.5,58.9,53.7,40.7,1902
57.5,47.7,39,55.1,50.4,64.4,69.6,76.2,73.9,69.7,56.3,47.1,40.4,1907
58.7,40.2,37.1,48.8,55.9,69,76.3,76.8,78.9,69.5,60.4,51.4,39.7,1899
58.8,35.9,38.3,48.5,60.3,68.5,72.4,77.6,76.3,74.8,61.7,47.5,43.2,1912
58.8,45,43.2,49.7,62.5,64.1,75.5,78.8,77.2,69.6,56.1,50,33.7,1917
58.9,39.5,37.4,47,57.6,65.8,71.7,77.6,80.2,73.9,63.7,51.2,41.7,1900
59.1,44.2,40.4,54.3,52.7,68.9,76.4,77,75.8,72.2,60.1,46.1,40.9,1898
59.2,39.2,41.5,48.5,58.8,65.2,76.6,76.5,79,67.4,61.5,52.1,44.4,1924
59.2,41.4,40.7,49.6,57.3,66.2,75,76.5,74.3,73.3,63.2,50,42.7,1920
59.3,37.5,45.1,50.6,58.2,64.3,75.5,76.9,74.8,71.7,63.8,49.8,43.8,1897
59.5,41.1,44.1,43.7,60.7,70,73.6,78.5,75.8,72.6,63.4,52.2,38.8,1915
59.7,41.9,41.1,56.5,59.8,65.1,70.8,76.5,76.5,73.2,63.7,50.4,40.5,1910
59.7,42.8,40.5,46.3,60.7,69.8,79.8,78.4,77.1,69.9,62.3,48.8,40.2,1914
59.7,44.1,46.9,49.8,60.1,65.7,75.2,74.7,74.9,69.1,57.9,56.6,40.8,1909
59.8,31.8,43.4,49.1,58.4,66.9,77.1,77.8,77.8,72,63.9,51.5,47.5,1940
59.8,39,37.3,57.6,62.4,68.1,73.3,76.9,76,69.6,58.9,51.5,46.6,1908
60.1,46,37.8,43.8,62.9,69.5,75.2,76.3,78.6,73.8,65,48.5,43.7,1947
60.1,47,44.1,51.8,56.8,67.8,74.9,78.7,76.7,68,59.8,50.2,45.1,1913
60.2,32.7,49.4,56.5,56.6,70.7,74.8,75.2,77.5,66.6,63.7,50.6,47.9,1918
60.4,42.5,44.6,51.7,56.7,66.8,73.9,78.5,77.9,69.8,64.9,52.2,44.8,1928
60.4,49.8,43.2,49.7,58.6,69.4,78.9,79,78,70.3,57.1,48.1,42.5,1937
60.5,43.3,42.8,55.1,63.2,67.4,74.3,77.2,77.2,70.4,59.4,51.3,44.4,1929
60.7,41.4,39.7,51.2,63.2,69,78.1,79.9,76.1,72.2,62.8,53,41.6,1942
60.7,42,46.8,45,59,69.7,75.3,79.8,79.1,75.6,63.3,47.1,45.4,1926
60.7,52,48.1,48.1,58.1,71.1,76.8,75.6,76.3,70.2,65.2,47.2,39.1,1950
60.8,43,46,49.5,64.1,72.1,73.3,76.2,78.3,71.3,59.6,55.6,40.8,1896
